label,limit_threshold,bandwidth_refill,compute_ceiling,max_boost,decay,adjust_interval,slo_rate,ir_gt_1,ir_gt_1_25,ir_gt_1_5,limited_ratio,drop_rate,limiter_events_per_task,score,signature
C167,1.05,0.7,1.4,1.4,0.02,12,0.5157894736842106,0.5714285714285714,0.03571428571428571,0.017857142857142856,0.07368421052631578,0.47368421052631576,426.93684210526317,-0.3293233082706766,lt=1.050 | br=0.700 | cc=1.400 | mb=1.400 | dec=0.020 | adj=12
C146,1.05,0.7,1.2,1.2,0.01,16,0.48947368421052634,0.5188679245283019,0.018867924528301886,0.0,0.09473684210526316,0.5052631578947369,544.578947368421,-0.32939424031777553,lt=1.050 | br=0.700 | cc=1.200 | mb=1.200 | dec=0.010 | adj=16
C182,1.05,0.85,1.3,1.4,0.01,16,0.49473684210526314,0.5238095238095238,0.06666666666666667,0.0,0.1,0.5052631578947369,628.0368421052632,-0.3317042606516291,lt=1.050 | br=0.850 | cc=1.300 | mb=1.400 | dec=0.010 | adj=16
C287,1.1,1.0,1.4,1.4,0.02,12,0.48947368421052634,0.5188679245283019,0.04716981132075472,0.0,0.1,0.5052631578947369,547.7263157894737,-0.33202581926514396,lt=1.100 | br=1.000 | cc=1.400 | mb=1.400 | dec=0.020 | adj=12
C211,1.05,1.0,1.4,1.2,0.02,12,0.5105263157894737,0.5648148148148148,0.009259259259259259,0.0,0.06842105263157895,0.48947368421052634,390.29473684210524,-0.33323586744639366,lt=1.050 | br=1.000 | cc=1.400 | mb=1.200 | dec=0.020 | adj=12
C240,1.1,0.7,1.4,1.4,0.02,16,0.5105263157894737,0.5648148148148148,0.009259259259259259,0.0,0.06842105263157895,0.48947368421052634,364.6421052631579,-0.33323586744639366,lt=1.100 | br=0.700 | cc=1.400 | mb=1.400 | dec=0.020 | adj=16
C288,1.1,1.0,1.4,1.4,0.02,16,0.5105263157894737,0.5636363636363636,0.00909090909090909,0.00909090909090909,0.07894736842105263,0.4842105263157895,401.8157894736842,-0.3346889952153109,lt=1.100 | br=1.000 | cc=1.400 | mb=1.400 | dec=0.020 | adj=16
C282,1.1,1.0,1.4,1.2,0.01,16,0.49473684210526314,0.5377358490566038,0.018867924528301886,0.018867924528301886,0.08947368421052632,0.5,491.9578947368421,-0.3377358490566038,lt=1.100 | br=1.000 | cc=1.400 | mb=1.200 | dec=0.010 | adj=16
C217,1.1,0.7,1.2,1.2,0.01,12,0.5157894736842106,0.5779816513761468,0.009174311926605505,0.0,0.06842105263157895,0.4842105263157895,374.43684210526317,-0.33850796716562037,lt=1.100 | br=0.700 | cc=1.200 | mb=1.200 | dec=0.010 | adj=12
C208,1.05,1.0,1.3,1.4,0.02,16,0.5052631578947369,0.5596330275229358,0.009174311926605505,0.009174311926605505,0.07894736842105263,0.48947368421052634,411.7,-0.33858039594398837,lt=1.050 | br=1.000 | cc=1.300 | mb=1.400 | dec=0.020 | adj=16
C265,1.1,1.0,1.2,1.2,0.01,12,0.49473684210526314,0.5471698113207547,0.009433962264150943,0.009433962264150943,0.07368421052631578,0.5,397.9736842105263,-0.33927507447864946,lt=1.100 | br=1.000 | cc=1.200 | mb=1.200 | dec=0.010 | adj=12
C78,1.0,0.7,1.2,1.4,0.01,16,0.5368421052631579,0.48214285714285715,0.008928571428571428,0.0,0.3263157894736842,0.4631578947368421,304.0210526315789,-0.3400375939849624,lt=1.000 | br=0.700 | cc=1.200 | mb=1.400 | dec=0.010 | adj=16
C188,1.05,0.85,1.4,1.2,0.02,16,0.5,0.5514018691588785,0.028037383177570093,0.0,0.07894736842105263,0.5,487.43684210526317,-0.3408755533694048,lt=1.050 | br=0.850 | cc=1.400 | mb=1.200 | dec=0.020 | adj=16
C229,1.1,0.7,1.3,1.4,0.01,12,0.5210526315789473,0.5909090909090909,0.00909090909090909,0.0,0.06315789473684211,0.4789473684210526,340.0473684210526,-0.340909090909091,lt=1.100 | br=0.700 | cc=1.300 | mb=1.400 | dec=0.010 | adj=12
